Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
Golden Odeum,62,17,50362,84907,56277,NI
Intern Translator,96,32,77412,145128,94531,NI
Fairytale Garden,96,32,52848,84422,54035,NI
Spring Outing,96,62,54682,84491,65281,NI
Office Star,96,35,65420,80839,77806,NI
Cloud Lady,28,6,51279,129689,52894,NI
Summer Party,28,13,47647,80868,57563,NI
Golden Odeum,28,42,42470,91885,49591,NI
Ongoing Sports,28,6,45739,85411,49397,NI
A Growing Lady,28,30,48818,77119,54925,NI
Fairytale Garden,62,14,52222,80284,62696,NI
Office Star,62,13,48751,76732,49707,NI
Ongoing Sports,62,37,44661,82257,48605,NI
Fairytale Garden,62,19,51396,84262,64383,NI
Beach Party,62,6,29677,74498,33863,NI
Summer Story,84,34,55681,83940,56576,NI
Ongoing Sports,84,49,51714,81003,61714,NI
Summer Party,84,39,55805,76389,60113,NI
Summer Story,84,50,59373,81634,73008,NI
Summer Story,84,42,57854,71309,56171,NI
Beach Party,18,34,42337,44030,40436,None
Christmas Reunion,18,66,35370,50489,37281,None
The Queen,18,2,33710,52012,32638,None
Where is Spring,18,6,34802,46267,36208,None
Beach Party,18,32,35939,43576,32009,None
Summer Party,18,56,52395,49463,54224,None
A Growing Lady,18,52,46229,44560,54412,None
Ongoing Sports,18,12,33214,60689,32918,None
Fire in the Winter,18,9,41033,54700,44625,None
Beach Party,18,32,39497,39603,40821,None
A Growing Lady,64,45,38082,76481,52672,NI
A Growing Lady,64,4,35931,86412,45827,NI
Fire in the Winter,64,45,44546,80244,53882,NI
Intern Translator,64,39,50472,141974,58702,NI
Golden Odeum,64,26,51199,90608,60451,NI
Summer Story,60,36,39363,84017,46908,NI
Fairytale Garden,60,30,51837,80619,59480,NI
A Growing Lady,60,45,48025,82321,53818,NI
Imperial Ball,60,10,39262,87346,44655,NI
Summer Story,60,47,34755,79655,39399,NI
Where is Spring,38,36,58870,82461,60900,NI
Great Detective,38,32,52809,69918,61134,NI
Cloud Lady,28,46,59775,134202,59853,NI
Cloud Lady,28,31,57189,139061,60954,NI
Ongoing Sports,28,7,38074,81588,43789,NI
Summer Story,28,38,39236,79610,45753,NI
Summer Story,28,22,37584,72213,39551,NI
The Queen,64,51,57000,77629,81698,NI
The Queen,64,32,52036,86642,60163,NI
Spring Outing,64,4,38238,78948,45112,NI
Beach Party,64,32,58415,80653,58359,NI
Cloud Lady,64,9,40767,137804,47894,NI
Fairytale Garden,28,28,49289,80352,58670,NI
Great Detective,28,11,37480,79636,40104,NI
Summer Party,28,17,51433,75510,57837,NI
Beach Party,28,5,23945,78355,24326,NI
A Growing Lady,28,42,47531,74870,59534,NI
A Growing Lady,79,13,44357,86867,53385,NI
Beach Party,79,63,59352,73476,64927,NI
Christmas Reunion,79,23,45321,74276,44428,NI
Cloud Lady,79,24,57867,158400,58989,NI
Ongoing Sports,79,44,47783,89484,52063,NI
Fire in the Winter,79,43,65869,76072,72432,NI
Summer Party,79,4,45609,86028,49158,NI
Christmas Reunion,79,9,40335,74013,39402,NI
Christmas Reunion,79,6,54253,82093,57886,NI
Intern Translator,79,18,43786,142412,47318,NI
Golden Odeum,79,31,55612,90096,52159,NI
Office Star,79,36,40682,77505,39096,NI
Beach Party,79,66,65228,75239,76314,NI
Spring Outing,79,8,42659,81539,47238,NI
Golden Odeum,79,18,52567,90313,58014,NI
Christmas Reunion,79,30,10514,79877,9208,NI
Beach Party,79,10,30781,68267,35597,NI
Intern Translator,79,4,41327,137657,38109,NI
Cloud Lady,79,29,58232,154203,61756,NI
Ongoing Sports,79,29,40560,91670,39699,NI
Imperial Ball,79,54,52397,86348,64801,NI
Summer Story,79,37,64831,76597,72462,NI
Where is Spring,79,47,71026,81952,77887,NI
Summer Story,60,16,36983,82613,41437,NI
Spring Outing,60,36,51795,85049,53788,NI
Great Detective,60,5,39296,80527,46145,NI
Christmas Reunion,60,37,55484,81514,65096,NI
Golden Odeum,60,31,59355,93934,73177,NI
The Queen,60,41,57414,104636,72276,NI
The Queen,60,29,59256,98524,65418,NI
Fairytale Garden,60,20,52378,82650,57828,NI
Christmas Reunion,60,25,42843,73934,52106,NI
Ongoing Sports,60,36,47406,77181,57460,NI
Ongoing Sports,14,12,37074,53391,39324,None
Summer Party,14,3,41153,62845,44279,None
Christmas Reunion,62,35,42067,83911,41351,NI
Golden Odeum,62,4,44038,92004,44258,NI
Fairytale Garden,62,17,32995,93949,38900,NI
Imperial Ball,62,3,38029,96716,39629,NI
Great Detective,62,14,41761,76998,49108,NI
Where is Spring,38,41,58683,80170,64296,NI
Where is Spring,28,43,49380,77277,55062,NI
Christmas Reunion,28,26,39562,79152,42522,NI
Ongoing Sports,28,9,48110,80775,54564,NI
Christmas Reunion,28,33,44592,71971,45237,NI
The Queen,28,5,44133,78103,47060,NI
Christmas Reunion,84,57,50401,78482,60492,NI
Fairytale Garden,84,33,55504,86492,58083,NI
Cloud Lady,84,19,86400,137312,104709,NI
Imperial Ball,84,50,54115,92948,62082,NI
Cloud Lady,84,11,87634,144231,107108,NI
Beach Party,64,36,44074,73500,52174,NI
Christmas Reunion,64,19,41041,78055,40816,NI
Christmas Reunion,64,34,62391,,,NI
Christmas Reunion,64,69,62124,,,NI
Christmas Reunion,64,16,44741,11875,44913,NI
Beach Party,64,26,59117,69733,64555,NI
Great Detective,64,33,49659,70751,53564,NI
Fairytale Garden,14,45,42774,64509,48795,None
Spring Outing,62,20,24300,89657,23983,NI
Great Detective,62,18,46118,83240,58960,NI
Beach Party,62,37,35534,75378,48829,NI
Spring Outing,62,32,54470,86402,59536,NI
Fire in the Winter,62,30,52013,83202,62661,NI
Office Star,38,5,58525,85984,70697,NI
The Queen,79,57,73783,89213,82169,NI
Fire in the Winter,79,14,54369,79086,67138,NI
Summer Party,79,64,70752,82696,80797,NI
Spring Outing,79,5,32825,87233,33945,NI
Office Star,79,14,58882,90070,65220,NI
Fire in the Winter,28,4,20981,85397,24849,NI
Fire in the Winter,28,77,21310,77497,23438,NI
Great Detective,28,16,13660,86656,14538,NI
Christmas Reunion,28,12,37277,73860,39943,NI
The Queen,28,9,47274,77295,51431,NI
Fairytale Garden,60,36,19220,81635,20080,NI
Cloud Lady,60,39,76507,146060,87238,NI
A Growing Lady,60,62,57088,74705,60931,NI
Cloud Lady,60,7,52620,154242,57974,NI
Spring Outing,62,2,37752,80417,35630,NI
Fire in the Winter,64,34,40212,40346,74452,NI
Golden Odeum,64,5,21247,92272,21228,NI
Where is Spring,64,4,44382,77662,45066,NI
Spring Outing,64,35,42481,82156,43345,NI
Christmas Reunion,64,15,26873,83148,31792,NI
Where is Spring,84,2,39858,72755,42055,NI
Summer Party,84,8,42832,76842,39396,NI
The Queen,84,16,52992,80988,54183,NI
Cloud Lady,84,13,65449,153855,63763,NI
Fairytale Garden,84,29,44720,76312,49685,NI
Great Detective,62,7,16600,79378,15788,NI
Where is Spring,62,7,41594,99229,44017,NI
Cloud Lady,62,4,38313,142415,42994,NI
Cloud Lady,62,5,58528,148304,52588,NI
Fire in the Winter,38,26,54615,80567,59798,NI
Spring Outing,60,29,36604,75858,38397,NI
Beach Party,60,7,30849,74168,34628,NI
Cloud Lady,60,32,36862,150078,43760,NI
Summer Party,60,26,39795,82212,39789,NI
Fire in the Winter,60,21,45265,76682,52077,NI
Summer Story,62,33,40000,79581,50630,NI
Office Star,62,23,46714,76588,42799,NI
Beach Party,62,42,39359,72187,47501,NI
Summer Story,62,38,47760,82135,46597,NI
A Growing Lady,62,63,43581,77953,57634,NI
Where is Spring,60,38,50447,93303,59758,NI
Imperial Ball,60,49,55519,90989,71728,NI
Christmas Reunion,60,29,44711,79081,53848,NI
Summer Party,60,15,49161,84289,48930,NI
Cloud Lady,60,11,44500,142464,48757,NI
Spring Outing,62,27,49462,85183,56022,NI
Spring Outing,62,6,49368,88549,55796,NI
Intern Translator,62,27,40837,120831,41078,NI
Golden Odeum,62,6,36318,91983,37615,NI
Golden Odeum,62,8,25771,89801,27478,NI
Fairytale Garden,28,14,41843,80713,43994,NI
Golden Odeum,28,56,46121,80696,47110,NI
Summer Party,28,12,49454,72639,55215,NI
Golden Odeum,28,26,54741,90151,64371,NI
The Queen,28,23,47293,91815,50980,NI
Fairytale Garden,60,12,57454,90192,64187,NI
Ongoing Sports,60,40,44934,81858,50974,NI
Office Star,60,23,54387,82628,66388,NI
Golden Odeum,60,4,52023,80670,67282,NI
Imperial Ball,60,17,47982,90981,59406,NI
Intern Translator,62,5,34010,119018,36249,NI
Ongoing Sports,62,39,49324,85635,57885,NI
Great Detective,62,8,34167,79454,32509,NI
Intern Translator,62,30,50359,147932,48198,NI
The Queen,62,35,52819,82068,59328,NI
